1433 Rudner, Rita
76 Courtney, Leonard H. (Lord Courtney)
1266 Schiller, Friedrich von
1933 Boswell, James
1932 James, Henry
1044 Rascoe, Burton
706 Leno, Jay
388 Mayfield, Curtis
228 Ferron, Marcelle
269 Dalai Lama; see Tenzin Gyatso (His Holiness the 14th Dalai Lama)
310 Kalam, APJ Abdul
440 Eisenstein, Ferdinand
1286 Mann, Horace
1874 Beard, Charles A.
411 McClung, Nellie
1842 Firestone, Shulamith
1126 Junge, Traudl
1719 Baum, L. Frank
588 Waugh, Evelyn
1599 Buck, Pearl
230 Lubbock, John
885 Nin, Anaïs Nin
896 Hewitt, Hugh
54 Nostradamus (Michel de Notredame, or Michel de Nostredame)
393 Chaplin, Charlie (Sir Charles Spencer Chaplin)
1554 Buchan, John
1806 Delay, Tom
1351 Milligan, Spike
596 Proudhon, P. J.
1901 Attali, Jacques
1921 Tynan, Kenneth
117 Schweitzer, Albert
483 Varese, Edgard
687 Baudelaire, Charles
1264 Kaczynski, Lech
1005 Berio, Luciano
1534 Bowles, Ralston
1813 Li Bai
1041 Cioran, Emile
1298 Meir, Golda
1066 White, Andrew Dickson
819 Gracián, Baltasar
1541 Schopenhauer, Arthur
372 Baez, Joan
1863 Vance, Jack
1274 Luther, Martin
1150 Khan, Nusrat Fateh Ali
110 O'Brien, Conan
1676 Hawthorne, Nathaniel
133 Petty, Tom
802 Newton, Isaac
633 Hossein Elahi Ghomshei
1491 Marx, Groucho
40 Oliver, Robert T.
346 Bräutigam, Deborah
1273 Augustine of Hippo
1301 Thomas Aquinas
378 Butler, Smedley
1519 Moawad, René
585 Travaglia, Simon
1016 Foxworthy, Jeff
806 Crowley, Aleister
84 Mannheim, Karl
1808 Moran, Dylan
1652 Kennedy, Robert Francis Jr.
731 King, Stephen
1116 Disney, Walt
1038 Darwin, Charles
865 Brennus
1810 Burnham, Daniel
1379 Yankovic, "Weird Al"
1855 Bevan, Aneurin
546 Kennedy, Robert
972 Oppenheimer, J. Robert
435 Rumsfeld, Donald
1927 Malcolm X
1101 Lewis, Sinclair
69 Barker, Clive
600 Rodriguez, Alex
778 Gogh, Vincent Willem Van
640 Kierkegaard, Søren Aabye
103 Fitzgerald, F. Scott
484 Laurinkus, Mečys
1957 Epictetus
467 Wilcox, Ella Wheeler
1892 Stevens, Wallace
1413 Niebuhr, Reinhold
120 Malthus, Thomas
471 Cross, David
1383 Browning, Elizabeth Barrett
686 Bergerac, Cyrano de
1206 Hamilton, Laurell K.
268 Bolano, Roberto
1513 Hazlitt, William
429 Solzhenitsyn, Alexander
1866 Grass, Günter
1039 Spurgeon, Charles Haddon
1043 Stoppard, Tom
898 Salk, Jonas
1660 Favre, Brett
1706 Popper, Karl
1395 Von Karman, Theodore
848 William of Occam
521 Lon Chaney, Sr.
1312 Bernhard, Sandra
1179 Box, George E. P.
1027 Bacevich, Andrew
991 Gibran, Khalil
324 Smirnoff, Yakov
198 Lang, Will Jr.
1162 Trudeau, Pierre
1222 Lem, Stanislaw
106 Escher, M. C.
138 Ferrell, Will
866 Griswold, Alfred Whitney
1124 Wilson, Ron
25 Buckles, Frank
493 Vonnegut, Kurt
936 Rogers, Fred
1161 Young, Edward
1804 X, Malcolm (Malcolm Little)
1578 Burroughs, John
1048 Lynch, Peter
1657 Singh, Sir Vijay
680 Capote, Truman
243 Browne, Sir Thomas
635 Tolstoy, Leo
